nr,chemical_name,smiles,Reference,act
24,Dequalinium dichloride,[n+]1(c2c(cccc2)c(N)cc1C)CCCCCCCCCC[n+]1c2c(cccc2)c(N)cc1C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
25,Pentolinium di[L(+)-tartrate],[N+]1(CCCC1)(CCCCC[N+]1(CCCC1)C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
26,"1,1-Dimethyl-4-phenyl-piperazinium iodide",[N+]1(CCN(CC1)c1ccccc1)(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
27,Ellipticine,[nH]1c2c(c3c1cccc3)c(c1c(ccnc1)c2C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
28,Harmane,[nH]1c2c(c3c1cccc3)ccnc2C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
29,Ro 90-7501,[nH]1c2cc(ccc2nc1-c1ccc(N)cc1)-c1[nH]c2cc(N)ccc2n1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
30,LE 300,[nH]1c2Cc3c(CCN(CCc2c2c1cccc2)C)cccc3,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
31,Antozoline hydrochloride,[nH]1ccnc1CN(Cc1ccccc1)c1ccccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
32,"Histamine, R(-)-alpha-methyl-, dihydrochloride",[nH]1cncc1C[C@H](N)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
33,4-Methylpyrazole hydrochloride,[nH]1ncc(c1)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
34,(±)-Quinpirole dihydrochloride,[nH]1ncc2c1C[C@H]1[C@@H](N(CCC1)CCC)C2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
35,"5,5-Dimethyl-1-pyrroline-N-oxide",[O-][N+]1=CCCC1(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
36,Betaine aldehyde chloride,[O-]\C=C\[N+](C)(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
37,Se-(methyl)selenocysteine hydrochloride,[Se](C[C@@H](N)C(O)=O)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
38,Sandoz 58-035,[Si](CCCCCCCCCC)(CCC(=O)N[C@H](Cc1ccc(cc1)C)c1ccccc1)(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
39,Bromoenol lactone,Br\C=C\1/OC(=O)[C@@H](CC/1)c1c2c(ccc1)cccc2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
40,(E)-5-(2-Bromovinyl)-2'-deoxyuridine,Br\C=C\C1=CN([C@H]2O[C@H](CO)[C@H](O)C2)C(=O)NC1=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
41,ARL 67156 trisodium salt,BrC(Br)(P(OP(OC[C@H]1O[C@H](n2c3ncnc(N(CC)CC)c3nc2)[C@@H](O)[C@H]1O)(O)=O)(O)=O)P(O)(O)=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
42,(+)-Bromocriptine methanesulfonate,Brc1[nH]c2c3c1C[C@H]1N(C[C@H](C=C1c3ccc2)C(=O)NC1(OC2(O)N([C@H](CC(C)C)C(=O)N3[C@@H]2CCC3)C1=O)C(C)C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
43,3-Bromo-7-nitroindazole,Brc1[nH]nc2c1cccc2[N+](=O)[O-],"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
44,5-Bromo-2'-deoxyuridine,BrC1=CN([C@H]2O[C@H](CO)[C@H](O)C2)C(=O)NC1=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
45,CK2 Inhibitor 2,Brc1c(Br)c(Br)c2[nH]c(nc2c1Br)N(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
46,TBB,Brc1c(Br)c(Br)c2n[nH]nc2c1Br,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
47,R(+)-6-Bromo-APB hydrobromide,Brc1c2c(cc(O)c1O)[C@H](CN(CC2)CC=C)c1ccccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
48,VER-3323 hemifumarate salt,Brc1cc2N(CCc2cc1)C[C@H](N)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
49,NS 2028,Brc1cc2N3C(=NOC3=O)COc2cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
50,BIO,Brc1cc2NC(=O)/C(/c2cc1)=C\1/N=C2C(C=CC=C2)=C/1NO,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
51,S(-)-p-Bromotetramisole oxalate,Brc1ccc(cc1)[C@@H]1N=C2SCCN2C1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
52,Zimelidine dihydrochloride,Brc1ccc(cc1)\C(=C\CN(C)C)\c1cccnc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
53,H-89,Brc1ccc(cc1)\C=C\CNCCNS(=O)(=O)c1c2c(ccc1)cncc2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
54,Bretylium tosylate,Brc1ccccc1C[N+](CC)(C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
55,DSP-4 hydrochloride,Brc1ccccc1CN(CCCl)CC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
56,8-Bromo-cGMP sodium,Brc1nc2c(n1[C@H]1O[C@H]3[C@@H](OP(OC3)(O)=O)[C@H]1O)NC(=NC2=O)N,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
57,8-Bromo-cAMP sodium,Brc1nc2c(ncnc2N)n1[C@H]1O[C@H]2[C@@H](OP(OC2)(O)=O)[C@H]1O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
58,Bromoacetyl alprenolol menthane,BrCC(=O)NC(C)(C)[C@H]1CC(NC[C@@H](O)COc2ccccc2CC=C)(CCC1)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
59,Bromoacetylcholine bromide,BrCC(OCC[N+](C)(C)C)=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
60,N-Bromoacetamide,BrNC(=O)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
61,2-Chloro-2-deoxy-D-glucose,Cl[C@H]([C@H](O)[C@H](O)[C@H](O)CO)C=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
62,Clodronic acid,ClC(Cl)(P(O)(O)=O)P(O)(O)=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
63,beta-Chloro-L-alanine hydrochloride,ClC[C@@H](N)C(O)=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
64,Cefaclor,ClC=1CS[C@H]2N(C=1C(O)=O)C(=O)[C@@H]2NC(=O)[C@@H](N)c1ccccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
65,Ciprofibrate,ClC1(Cl)C[C@H]1c1ccc(OC(C(O)=O)(C)C)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
66,CB34,ClC1=CC(Cl)=Cn2c1nc(-c1ccc(Cl)cc1)c2CC(=O)N(CCC)CCC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
67,Beclomethasone,ClC12[C@H]([C@H]3C[C@@H](C)C(O)(C(=O)CO)C3(C[C@@H]1O)C)CCC1=CC(=O)C=CC12C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
68,Lamotrigine,Clc1c(cccc1Cl)-c1nnc(nc1N)N,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
69,Felodipine,Clc1c(cccc1Cl)[C@@H]1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
70,"(±)-2,3-Dichloro-alpha-methylbenzylamine hydrochloride",Clc1c(cccc1Cl)[C@H](N)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
71,NBI 27914,Clc1c(nc(nc1N(CC1CC1)CCC)C)Nc1c(Cl)cc(Cl)cc1Cl,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
72,Meclofenamic acid sodium,Clc1c(Nc2ccccc2C(O)=O)c(Cl)ccc1C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
73,R(+)-IAA-94,Clc1c(OCC(O)=O)cc2c(C(=O)C(C2)(C)C2CCCC2)c1Cl,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
74,R(+)-Butylindazone,Clc1c(OCC(O)=O)cc2c(C(=O)C(C2)(CCCC)C2CCCC2)c1Cl,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
75,"MDL 105,519",Clc1c2c([nH]c(C(O)=O)c2\C=C(/C(O)=O)\c2ccccc2)cc(Cl)c1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
76,SKF 83959 hydrobromide,Clc1c2c(cc(O)c1O)[C@@H](CN(CC2)C)c1cc(ccc1)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
77,Fenoldopam bromide,Clc1c2c(cc(O)c1O)[C@@H](CNCC2)c1ccc(O)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
78,(±)-6-Chloro-PB hydrobromide,Clc1c2c(cc(O)c1O)[C@@H](CNCC2)c1ccccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
79,SKF 83565 hydrobromide,Clc1c2c(cc(O)c1O)[C@H](CN(CC2)C)c1cc(Cl)ccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
80,(±)-Chloro-APB hydrobromide,Clc1c2c(cc(O)c1O)[C@H](CN(CC2)CC=C)c1ccccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
81,ML-9,Clc1c2c(ccc1)c(S(=O)(=O)N1CCCNCC1)ccc2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
82,W-7 hydrochloride,Clc1c2c(ccc1)c(S(=O)(=O)NCCCCCCN)ccc2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
83,A3 hydrochloride,Clc1c2c(ccc1)c(S(=O)(=O)NCCN)ccc2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
84,"5,7-Dichlorokynurenic acid",Clc1c2c(NC(=CC2=O)C(O)=O)cc(Cl)c1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
85,SKF 86466,Clc1c2CCN(CCc2ccc1)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
86,Quazinone,Clc1c2CN3C(=NC(=O)[C@H]3C)Nc2ccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
87,Vancomycin hydrochloride,Clc1c2Oc3cc4[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC)CC(C)C)[C@H](O)c(c1)cc2)CC(=O)N)C(=O)N[C@@H]1c2cc(-c5c(cc(O)cc5O)[C@H](NC(=O)[C@@H](NC1=O)[C@@H](O)c1cc(Cl)c(Oc(c4)c3O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O[C@H]3O[C@H](C)[C@@H](O)C(N)(C3)C)cc1)C(O)=O)c(O)cc2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
88,Niclosamide,Clc1cc([N+](=O)[O-])ccc1NC(=O)c1cc(Cl)ccc1O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
89,1-(m-Chlorophenyl)-biguanide hydrochloride,Clc1cc(\N=C(\N=C(N)N)/N)ccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
90,McN-A-343,Clc1cc(\N=C(\OCC#CC[N+](C)(C)C)/[O-])ccc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
91,Glibenclamide,Clc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)c(OC)cc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
92,Metoclopramide hydrochloride,Clc1cc(C(=O)NCCN(CC)CC)c(OC)cc1N,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
93,"SDZ-205,557 hydrochloride",Clc1cc(C(OCCN(CC)CC)=O)c(OC)cc1N,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
94,ML 10302,Clc1cc(C(OCCN2CCCCC2)=O)c(OC)cc1N,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
95,SB 204070 hydrochloride,Clc1cc(c2OCCOc2c1N)C(OCC1CCN(CC1)CCCC)=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
96,"3-Tropanyl-3,5-dichlorobenzoate",Clc1cc(cc(Cl)c1)C(OC1C[C@@H]2N([C@@H](C1)CC2)C)=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
97,Chloroethylclonidine dihydrochloride,Clc1cc(cc(Cl)c1NC=1NCCN=1)CN(CCCl)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
98,S-(-)-Eticlopride hydrochloride,Clc1cc(CC)c(O)c(C(=O)NC[C@@H]2CCN(C2)CC)c1OC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
99,"CL 316,243",Clc1cc(ccc1)[C@H](O)CN[C@@H](Cc1cc2OC(Oc2cc1)(C(O)=O)C(O)=O)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
100,BRL 37344 sodium,Clc1cc(ccc1)[C@H](O)CN[C@@H](Cc1ccc(OCC(O)=O)cc1)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
101,8-(3-Chlorostyryl)caffeine,Clc1cc(ccc1)\C=C\c1nc2N(C)C(=O)N(C)C(=O)c2n1C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
102,Bupropion hydrochloride,Clc1cc(ccc1)C(=O)[C@H](NC(C)(C)C)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
103,Indatraline hydrochloride,Clc1cc(ccc1Cl)[C@@H]1C[C@@H](NC)c2c1cccc2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
104,Sertraline hydrochloride,Clc1cc(ccc1Cl)[C@@H]1CC[C@@H](NC)c2c1cccc2,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
105,Lorglumide sodium,Clc1cc(ccc1Cl)C(=O)N[C@@H](CCC(O)=O)C(=O)N(CCCCC)CCCCC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
106,"3',4'-Dichlorobenzamil",Clc1cc(ccc1Cl)C\N=C(\NC(=O)c1nc(Cl)c(nc1N)N)/N,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
107,"ICI 204,448 hydrochloride",Clc1cc(ccc1Cl)CC(=O)N([C@H](CN1CCCC1)c1cc(OCC(O)=O)ccc1)C,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
108,U-62066,Clc1cc(ccc1Cl)CC(=O)N(C)[C@@H]1CCC2(OCCC2)C[C@@H]1N1CCCC1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
109,BRL 52537 hydrochloride,Clc1cc(ccc1Cl)CC(=O)N1CCCC[C@@H]1CN1CCCC1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
110,GR-89696 fumarate,Clc1cc(ccc1Cl)CC(=O)N1CCN(C[C@@H]1CN1CCCC1)C(OC)=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
111,AC 915 oxalate,Clc1cc(ccc1Cl)CC(OCCN1CCCC1)=O,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
112,S(+)-Raclopride L-tartrate,Clc1cc(Cl)c(O)c(C(=O)NC[C@@H]2N(CCC2)CC)c1OC,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
113,Ketoconazole,Clc1cc(Cl)ccc1C1(O[C@@H](CO1)COc1ccc(N2CCN(CC2)C(=O)C)cc1)Cn1ccnc1,"Ye, X. et al., 2014. A pharmacological network for lifespan extension in Caenorhabditis elegans. Aging cell, 13(2), pp.206–215.

",0
